EMP-00001	hasRole	Software_Engineer
EMP-00001	worksIn	FL
EMP-00001	belongsTo	HR
EMP-00001	hasEmploymentType	full_time
EMP-00002	hasRole	Software_Engineer
EMP-00002	worksIn	CA
EMP-00002	belongsTo	Engineering
EMP-00002	hasEmploymentType	full_time
EMP-00003	hasRole	Data_Analyst
EMP-00003	worksIn	FL
EMP-00003	belongsTo	Legal
EMP-00003	hasEmploymentType	part_time
EMP-00004	hasRole	Operations_Staff
EMP-00004	worksIn	WA
EMP-00004	belongsTo	Engineering
EMP-00004	hasEmploymentType	part_time
EMP-00005	hasRole	Data_Analyst
EMP-00005	worksIn	WA
EMP-00005	belongsTo	HR
EMP-00005	hasEmploymentType	expatriate
EMP-00006	hasRole	HR_Manager
EMP-00006	worksIn	UK_national
EMP-00006	belongsTo	Finance
EMP-00006	hasEmploymentType	full_time
EMP-00007	hasRole	HR_Manager
EMP-00007	worksIn	DE_national
EMP-00007	belongsTo	Engineering
EMP-00007	hasEmploymentType	contractor
EMP-00008	hasRole	Operations_Staff
EMP-00008	worksIn	federal
EMP-00008	belongsTo	HR
EMP-00008	hasEmploymentType	full_time
EMP-00009	hasRole	Software_Engineer
EMP-00009	worksIn	WA
EMP-00009	belongsTo	HR
EMP-00009	hasEmploymentType	full_time
EMP-00010	hasRole	Software_Engineer
EMP-00010	worksIn	DE_national
EMP-00010	belongsTo	Finance
EMP-00010	hasEmploymentType	expatriate
EMP-00011	hasRole	Data_Analyst
EMP-00011	worksIn	FL
EMP-00011	belongsTo	Finance
EMP-00011	hasEmploymentType	contractor
EMP-00012	hasRole	Software_Engineer
EMP-00012	worksIn	TX
EMP-00012	belongsTo	Operations
EMP-00012	hasEmploymentType	part_time
EMP-00013	hasRole	HR_Manager
EMP-00013	worksIn	CA
EMP-00013	belongsTo	Engineering
EMP-00013	hasEmploymentType	part_time
EMP-00014	hasRole	HR_Manager
EMP-00014	worksIn	NY
EMP-00014	belongsTo	Legal
EMP-00014	hasEmploymentType	expatriate
EMP-00015	hasRole	HR_Manager
EMP-00015	worksIn	UK_national
EMP-00015	belongsTo	Operations
EMP-00015	hasEmploymentType	part_time
EMP-00016	hasRole	Data_Analyst
EMP-00016	worksIn	FL
EMP-00016	belongsTo	Legal
EMP-00016	hasEmploymentType	contractor
EMP-00017	hasRole	Finance_Analyst
EMP-00017	worksIn	UK_national
EMP-00017	belongsTo	HR
EMP-00017	hasEmploymentType	contractor
EMP-00018	hasRole	Data_Analyst
EMP-00018	worksIn	CA
EMP-00018	belongsTo	Engineering
EMP-00018	hasEmploymentType	expatriate
EMP-00019	hasRole	Data_Analyst
EMP-00019	worksIn	NY
EMP-00019	belongsTo	Operations
EMP-00019	hasEmploymentType	part_time
EMP-00020	hasRole	Finance_Analyst
EMP-00020	worksIn	CA
EMP-00020	belongsTo	Engineering
EMP-00020	hasEmploymentType	expatriate
EMP-00021	hasRole	Finance_Analyst
EMP-00021	worksIn	NY
EMP-00021	belongsTo	Operations
EMP-00021	hasEmploymentType	contractor
EMP-00022	hasRole	Data_Analyst
EMP-00022	worksIn	WA
EMP-00022	belongsTo	Legal
EMP-00022	hasEmploymentType	expatriate
EMP-00023	hasRole	Data_Analyst
EMP-00023	worksIn	FL
EMP-00023	belongsTo	Finance
EMP-00023	hasEmploymentType	full_time
EMP-00024	hasRole	Data_Analyst
EMP-00024	worksIn	DE_national
EMP-00024	belongsTo	Engineering
EMP-00024	hasEmploymentType	full_time
EMP-00025	hasRole	HR_Manager
EMP-00025	worksIn	CA
EMP-00025	belongsTo	Legal
EMP-00025	hasEmploymentType	contractor
EMP-00026	hasRole	Software_Engineer
EMP-00026	worksIn	NY
EMP-00026	belongsTo	Legal
EMP-00026	hasEmploymentType	full_time
EMP-00027	hasRole	Data_Analyst
EMP-00027	worksIn	TX
EMP-00027	belongsTo	Legal
EMP-00027	hasEmploymentType	part_time
EMP-00028	hasRole	Finance_Analyst
EMP-00028	worksIn	FL
EMP-00028	belongsTo	Finance
EMP-00028	hasEmploymentType	expatriate
EMP-00029	hasRole	Operations_Staff
EMP-00029	worksIn	DE_national
EMP-00029	belongsTo	HR
EMP-00029	hasEmploymentType	contractor
EMP-00030	hasRole	Data_Analyst
EMP-00030	worksIn	CA
EMP-00030	belongsTo	Legal
EMP-00030	hasEmploymentType	full_time
EMP-00031	hasRole	Data_Analyst
EMP-00031	worksIn	NY
EMP-00031	belongsTo	Engineering
EMP-00031	hasEmploymentType	part_time
EMP-00032	hasRole	Data_Analyst
EMP-00032	worksIn	federal
EMP-00032	belongsTo	Legal
EMP-00032	hasEmploymentType	full_time
EMP-00033	hasRole	Data_Analyst
EMP-00033	worksIn	FL
EMP-00033	belongsTo	HR
EMP-00033	hasEmploymentType	contractor
EMP-00034	hasRole	Finance_Analyst
EMP-00034	worksIn	DE_national
EMP-00034	belongsTo	Operations
EMP-00034	hasEmploymentType	expatriate
EMP-00035	hasRole	Data_Analyst
EMP-00035	worksIn	UK_national
EMP-00035	belongsTo	Operations
EMP-00035	hasEmploymentType	full_time
EMP-00036	hasRole	Operations_Staff
EMP-00036	worksIn	NY
EMP-00036	belongsTo	Operations
EMP-00036	hasEmploymentType	expatriate
EMP-00037	hasRole	HR_Manager
