event_id,emp_id,has_violation,violations,is_anomaly,anomaly_type
PE-EMP-00001-01,EMP-00001,False,[],False,none
PE-EMP-00001-02,EMP-00001,False,[],False,none
PE-EMP-00001-03,EMP-00001,False,[],False,none
PE-EMP-00001-04,EMP-00001,False,[],False,none
PE-EMP-00001-05,EMP-00001,False,[],False,none
PE-EMP-00001-06,EMP-00001,False,[],False,none
PE-EMP-00001-07,EMP-00001,False,[],False,none
PE-EMP-00001-08,EMP-00001,False,[],False,none
PE-EMP-00001-09,EMP-00001,False,[],False,none
PE-EMP-00001-10,EMP-00001,False,[],False,none
PE-EMP-00001-11,EMP-00001,False,[],False,none
PE-EMP-00001-12,EMP-00001,False,[],False,none
PE-EMP-00002-01,EMP-00002,True,['underpaid_overtime'],True,ghost_employee
PE-EMP-00002-02,EMP-00002,True,['underpaid_overtime'],True,ghost_employee
PE-EMP-00002-03,EMP-00002,True,['underpaid_overtime'],True,ghost_employee
PE-EMP-00002-04,EMP-00002,True,['underpaid_overtime'],True,ghost_employee
PE-EMP-00002-05,EMP-00002,True,['underpaid_overtime'],True,ghost_employee
PE-EMP-00002-06,EMP-00002,True,['underpaid_overtime'],True,ghost_employee
PE-EMP-00002-07,EMP-00002,True,['underpaid_overtime'],True,ghost_employee
PE-EMP-00002-08,EMP-00002,True,['underpaid_overtime'],True,ghost_employee
PE-EMP-00002-09,EMP-00002,True,['underpaid_overtime'],True,ghost_employee
PE-EMP-00002-10,EMP-00002,True,['underpaid_overtime'],True,ghost_employee
PE-EMP-00002-11,EMP-00002,True,['underpaid_overtime'],True,ghost_employee
PE-EMP-00002-12,EMP-00002,True,['underpaid_overtime'],True,ghost_employee
PE-EMP-00003-01,EMP-00003,False,[],False,none
PE-EMP-00003-02,EMP-00003,False,[],False,none
PE-EMP-00003-03,EMP-00003,False,[],False,none
PE-EMP-00003-04,EMP-00003,False,[],False,none
PE-EMP-00003-05,EMP-00003,False,[],False,none
PE-EMP-00003-06,EMP-00003,False,[],False,none
PE-EMP-00003-07,EMP-00003,False,[],False,none
PE-EMP-00003-08,EMP-00003,False,[],False,none
PE-EMP-00003-09,EMP-00003,False,[],False,none
PE-EMP-00003-10,EMP-00003,False,[],False,none
PE-EMP-00003-11,EMP-00003,False,[],False,none
PE-EMP-00003-12,EMP-00003,False,[],False,none
PE-EMP-00004-01,EMP-00004,False,[],False,none
PE-EMP-00004-02,EMP-00004,False,[],False,none
PE-EMP-00004-03,EMP-00004,False,[],False,none
PE-EMP-00004-04,EMP-00004,False,[],False,none
PE-EMP-00004-05,EMP-00004,False,[],True,rate_violation
PE-EMP-00004-06,EMP-00004,False,[],False,none
PE-EMP-00004-07,EMP-00004,False,[],False,none
PE-EMP-00004-08,EMP-00004,False,[],False,none
PE-EMP-00004-09,EMP-00004,False,[],False,none
PE-EMP-00004-10,EMP-00004,False,[],False,none
PE-EMP-00004-11,EMP-00004,False,[],False,none
PE-EMP-00004-12,EMP-00004,False,[],False,none
